ID,COMMU_ADMIN_COMMU_BND_FINAL_CM,COMMU_ADMIN_COMMU_BND_FINAL__1,CMT_TYPE,DNAME,SNAME,NHOUSE,RAI,NGAN,WA,HOUSEHOLD,MALE,FEMALE,LONG,LAT,POP
1,100107003,มัสยยิดบ้านตึกดิน,ชุมชนเมือง,พระนคร,บวรนิเวศ,71,5,0,0,165,130,135,100.500366,13.758108,265
2,101503008,หลังศูนย์จันทร์ฉิมไพบูลย์,ชุมชนแออัด,ธนบุรี,บางยี่เรือ,156,14,0,0,186,291,321,100.481581,13.720943,612
3,101602005,ปลายซอยศักดิ์เจริญ,ชุมชนแออัด,บางกอกใหญ่,วัดท่าพระ,57,3,0,0,74,126,135,100.463527,13.733446,261
4,101802009,ซอยท่าดินแดง 14 และ ท่าดินแดง 16,ชุมชนเมือง,คลองสาน,คลองสาน,1186,50,0,0,1052,981,1166,100.504763,13.735493,2147
5,102007003,วัดไชยทิศ,ชุมชนแออัด,บางกอกน้อย,บางขุนศรี,230,12,0,0,415,665,950,100.463323,13.768083,1615
6,102303010,รักเจริญ,ชุมชนชานเมือง,หนองแขม,หนองค้างพลู,122,80,0,0,746,286,310,100.355342,13.716707,596
7,102401009,หมู่ 7 ราษฎร์บูรณะ,ชุมชนแออัด,ราษฎร์บูรณะ,ราษฎร์บูรณะ,318,9,0,0,300,649,741,100.515025,13.66671,1390
8,102601008,ชุมชนสวัสดี,ชุมชนเมือง,ดินแดง,ดินแดง,408,38,0,0,454,391,449,100.558131,13.772018,840
9,100905015,สาหร่ายทองคำ,ชุมชนแออัด,พระโขนง,บางจาก,107,13,0,0,106,224,258,100.612882,13.701217,482
10,,นันทวันเซ็นต์ 2,ชุมชนเมือง,หนองจอก,,,,,,,,,100.88052,13.845409,
11,100704002,ซอยพระเจน,ชุมชนแออัด,ปทุมวัน,ลุมพินี,470,42,0,0,1175,2135,2872,100.546676,13.731048,5007
12,100803001,มัสยิดมหานาค,ชุมชนแออัด,ป้อมปราบศัตรูพ่าย,คลองมหานาค,352,2,0,0,452,453,471,100.515871,13.752959,924
13,101301002,ชุมชนสะพานหัน,ชุมชนเมือง,สัมพันธวงศ์,จักรวรรดิ,96,2,0,0,96,146,151,100.502217,13.74281,297
14,102502015,บ้านมั่นคงฟ้าใหม่,ชุมชนเมือง,บางพลัด,บางอ้อ,107,4,0,0,107,141,158,100.5014054,13.79493179,299
15,103005009,บ่อฝรั่งริมน้ำ,ชุมชนอาคารสูง,จตุจักร,จตุจักร,238,10,0,0,238,406,629,100.5425091,13.82163586,1035
